Period_Index,Rep_Period,Rep_Period_Index
1,27,4
2,57,12
3,98,19
4,98,19
5,98,19
6,108,20
7,108,20
8,108,20
9,108,20
10,108,20
11,108,20
12,119,22
13,57,12
14,111,21
15,111,21
16,123,23
17,119,22
18,169,27
19,169,27
20,119,22
21,111,21
22,111,21
23,119,22
24,47,11
25,123,23
26,111,21
27,123,23
28,123,23
29,111,21
30,111,21
31,123,23
32,123,23
33,123,23
34,123,23
35,47,11
36,123,23
37,111,21
38,111,21
39,119,22
40,123,23
41,119,22
42,123,23
43,123,23
44,111,21
45,111,21
46,44,9
47,123,23
48,123,23
49,119,22
50,144,24
51,144,24
52,96,18
53,111,21
54,123,23
55,169,27
56,123,23
57,57,12
58,144,24
59,119,22
60,111,21
61,167,26
62,158,25
63,158,25
64,158,25
65,158,25
66,158,25
67,158,25
68,23,3
69,158,25
70,158,25
71,123,23
72,158,25
73,108,20
74,158,25
75,108,20
76,167,26
77,158,25
78,169,27
79,44,9
80,169,27
81,169,27
82,169,27
83,108,20
84,108,20
85,119,22
86,169,27
87,169,27
88,185,28
89,185,28
90,84,16
91,167,26
92,167,26
93,185,28
94,185,28
95,185,28
96,185,28
97,185,28
98,193,29
99,193,29
100,193,29
101,20,2
102,193,29
103,193,29
104,193,29
105,193,29
106,243,33
107,193,29
108,193,29
109,193,29
110,193,29
111,193,29
112,4,1
113,20,2
114,193,29
115,243,33
116,193,29
117,206,30
118,206,30
119,206,30
120,206,30
121,206,30
122,243,33
123,223,31
124,23,3
125,206,30
126,206,30
127,206,30
128,206,30
129,206,30
130,243,33
131,223,31
132,206,30
133,241,32
134,206,30
135,23,3
136,241,32
137,206,30
138,243,33
139,223,31
140,206,30
141,206,30
142,206,30
143,223,31
144,206,30
145,243,33
146,23,3
147,223,31
148,241,32
149,241,32
150,206,30
151,241,32
152,241,32
153,243,33
154,223,31
155,206,30
156,241,32
157,23,3
158,241,32
159,241,32
160,206,30
161,243,33
162,223,31
163,253,34
164,241,32
165,241,32
166,241,32
167,241,32
168,44,9
169,243,33
170,223,31
171,241,32
172,253,34
173,253,34
174,241,32
175,241,32
176,243,33
177,223,31
178,253,34
179,20,2
180,253,34
181,253,34
182,253,34
183,241,32
184,243,33
185,223,31
186,241,32
187,241,32
188,241,32
189,241,32
190,27,4
191,241,32
192,271,35
193,271,35
194,253,34
195,253,34
196,294,38
197,294,38
198,294,38
199,281,36
200,281,36
201,333,46
202,281,36
203,281,36
204,298,39
205,298,39
206,298,39
207,281,36
208,293,37
209,294,38
210,294,38
211,294,38
212,30,5
213,294,38
214,294,38
215,293,37
216,293,37
217,294,38
218,294,38
219,298,39
220,294,38
221,298,39
222,293,37
223,4,1
224,30,5
225,300,40
226,300,40
227,342,47
228,342,47
229,342,47
230,293,37
231,300,40
232,300,40
233,308,41
234,323,43
235,30,5
236,323,43
237,30,5
238,333,46
239,328,44
240,328,44
241,329,45
242,316,42
243,345,48
244,333,46
245,329,45
246,45,10
247,328,44
248,328,44
249,345,48
250,323,43
251,323,43
252,323,43
253,329,45
254,328,44
255,328,44
256,329,45
257,33,6
258,316,42
259,345,48
260,345,48
261,333,46
262,328,44
263,328,44
264,329,45
265,345,48
266,345,48
267,333,46
268,33,6
269,333,46
270,342,47
271,342,47
272,333,46
273,345,48
274,345,48
275,345,48
276,333,46
277,342,47
278,342,47
279,30,5
280,333,46
281,345,48
282,333,46
283,333,46
284,333,46
285,356,49
286,356,49
287,356,49
288,356,49
289,359,50
290,30,5
291,20,2
292,27,4
293,27,4
294,27,4
295,27,4
296,27,4
297,45,10
298,38,7
299,44,9
300,4,1
301,47,11
302,47,11
303,42,8
304,57,12
305,44,9
306,45,10
307,57,12
308,47,11
309,47,11
310,57,12
311,4,1
312,57,12
313,44,9
314,45,10
315,45,10
316,20,2
317,328,44
318,45,10
319,57,12
320,57,12
321,57,12
322,4,1
323,57,12
324,47,11
325,47,11
326,63,13
327,63,13
328,44,9
329,66,14
330,66,14
331,66,14
332,66,14
333,57,12
334,66,14
335,45,10
336,23,3
337,38,7
338,74,15
339,328,44
340,328,44
341,42,8
342,316,42
343,57,12
344,57,12
345,74,15
346,333,46
347,342,47
348,342,47
349,84,16
350,66,14
351,66,14
352,66,14
353,88,17
354,20,2
355,57,12
356,88,17
357,88,17
358,98,19
359,98,19
360,98,19
361,98,19
362,96,18
363,96,18
364,98,19
365,98,19
